172
9998	9999	6
0	9998	9
0	9999	9
10000	10001	5
0	10000	9
0	10001	9
10002	10003	10
3	10002	9
3	10003	9
10004	10005	5
3	10004	9
3	10005	9
10006	10007	11
3	10006	9
3	10007	9
10008	10007	11
3	10008	9
10009	10010	0
3	10009	9
3	10010	9
10011	10012	0
3	10011	9
3	10012	9
10013	10014	12
3	10013	9
3	10014	9
10015	10016	5
3	10015	9
3	10016	9
10017	10018	0
3	10017	9
3	10018	9
10019	10020	4
3	10019	9
3	10020	9
10021	10022	1
4	10021	9
4	10022	9
10023	10024	13
4	10023	9
4	10024	9
10025	10026	5
4	10025	9
4	10026	9
10027	10028	14
4	10027	9
4	10028	9
10029	10030	11
4	10029	9
4	10030	9
10031	10032	5
4	10031	9
4	10032	9
10033	10034	15
4	10033	9
4	10034	9
10035	10036	4
4	10035	9
4	10036	9
10037	10038	6
4	10037	9
4	10038	9
10031	10039	2
4	10039	9
10040	10000	16
5	10040	9
5	10000	9
10041	10042	13
5	10041	9
5	10042	9
10043	10044	13
5	10043	9
5	10044	9
10045	10046	5
5	10045	9
5	10046	9
10047	10048	2
5	10047	9
5	10048	9
10040	10049	17
5	10049	9
10050	10051	18
5	10050	9
5	10051	9
10052	10053	12
5	10052	9
5	10053	9
10054	10055	12
5	10054	9
5	10055	9
10056	10057	2
5	10056	9
5	10057	9
10058	10059	5
5	10058	9
5	10059	9
10000	10060	19
5	10060	9
10061	10062	20
5	10061	9
5	10062	9
10063	10064	6
6	10063	9
6	10064	9
10065	10066	2
6	10065	9
6	10066	9
10067	10068	21
6	10067	9
6	10068	9
10069	10070	3
7	10069	9
7	10070	9
10071	10072	3
7	10071	9
7	10072	9
10073	10074	3
7	10073	9
7	10074	9
10058	10075	6
8	10058	9
8	10075	9
10076	10058	8
8	10076	9
10077	10058	8
8	10077	9
10058	10058	5
10078	10079	12
9	10078	9
9	10079	9
10080	10081	7
9	10080	9
9	10081	9
10082	10083	12
9	10082	9
9	10083	9
10084	10085	22
9	10084	9
9	10085	9
10086	10087	22
9	10086	9
9	10087	9
10088	10089	23
9	10088	9
9	10089	9
10090	10091	19
9	10090	9
9	10091	9
10092	10093	23
9	10092	9
9	10093	9
10094	10095	24
9	10094	9
9	10095	9
10096	10097	23
9	10096	9
9	10097	9
10098	10099	5
9	10098	9
9	10099	9
10100	10101	12
9	10100	9
9	10101	9
10102	10103	12
9	10102	9
9	10103	9
10104	10105	0
9	10104	9
9	10105	9
10106	10107	25
9	10106	9
9	10107	9
